product_id,product_name,category,product_type,product_url,reference_price,reference_commission_rate,search_volume,search_growth_7d,social_mentions_7d,competitor_count,days_until_peak,seasonal_relevance
P0040,Synthetic Pet Care Product 40,Pet Care,mobile_app,https://example.com/products/p0040,152.02,0.3578,113293,-53,14479,104,88,100
P0041,Synthetic Personal Finance Product 41,Personal Finance,physical,https://example.com/products/p0041,127.97,0.1069,108093,-22,316,112,60,10
P0042,Synthetic Travel Product 42,Travel,software,https://example.com/products/p0042,479.73,0.0485,100461,-46,9491,40,23,67
P0043,Synthetic Career Software Product 43,Career Software,membership,https://example.com/products/p0043,225.26,0.4933,70238,83,9321,2,89,42
P0044,Synthetic Personal Finance Product 44,Personal Finance,mobile_app,https://example.com/products/p0044,472.23,0.5925,96195,59,10106,10,58,78
P0045,Synthetic Education Product 45,Education,physical,https://example.com/products/p0045,243.68,0.5059,50259,18,8194,91,63,26
P0046,Synthetic Personal Finance Product 46,Personal Finance,software,https://example.com/products/p0046,371.77,0.4245,105427,-68,10425,21,78,46
P0047,Synthetic Personal Finance Product 47,Personal Finance,membership,https://example.com/products/p0047,416.01,0.0363,24543,69,3043,0,29,35
P0048,Synthetic Personal Finance Product 48,Personal Finance,mobile_app,https://example.com/products/p0048,222.42,0.0296,42880,-27,11891,102,65,22
P0049,Synthetic Creator Tools Product 49,Creator Tools,digital_download,https://example.com/products/p0049,476.76,0.0998,96350,66,10081,144,18,60
P0050,Synthetic Fitness Product 50,Fitness,software,https://example.com/products/p0050,215.72,0.4599,33527,-63,3029,118,33,76
P0051,Synthetic Beauty Product 51,Beauty,digital_download,https://example.com/products/p0051,54.42,0.5187,23376,-35,8207,59,88,36
P0052,Synthetic Beauty Product 52,Beauty,digital_download,https://example.com/products/p0052,25.9,0.2595,99970,-52,8942,25,13,83
P0053,Synthetic Creator Tools Product 53,Creator Tools,mobile_app,https://example.com/products/p0053,148.21,0.4749,17207,42,182,120,44,60
P0054,Synthetic Summer Gadgets Product 54,Summer Gadgets,subscription,https://example.com/products/p0054,314.05,0.1391,74973,83,9936,52,34,72
P0055,Synthetic Education Product 55,Education,software,https://example.com/products/p0055,103.78,0.2777,115294,31,3862,37,51,23
P0056,Synthetic Creator Tools Product 56,Creator Tools,course,https://example.com/products/p0056,163.88,0.3037,28798,-42,7536,86,65,96
P0057,Synthetic Travel Product 57,Travel,digital_download,https://example.com/products/p0057,273.13,0.3574,27164,24,10840,122,33,97
P0058,Synthetic Pet Care Product 58,Pet Care,digital_download,https://example.com/products/p0058,394.93,0.3995,48353,-9,3266,134,78,91
P0059,Synthetic Personal Finance Product 59,Personal Finance,digital_download,https://example.com/products/p0059,246.39,0.0592,119496,67,6261,15,77,96
P0060,Synthetic Travel Product 60,Travel,digital_download,https://example.com/products/p0060,80.34,0.1113,2606,-24,12147,26,1,81
P0061,Synthetic Gaming Product 61,Gaming,membership,https://example.com/products/p0061,124.28,0.3919,83202,74,6075,34,81,15
P0062,Synthetic Productivity Product 62,Productivity,service,https://example.com/products/p0062,280.23,0.4884,63952,65,8464,160,77,2
P0063,Synthetic Creator Tools Product 63,Creator Tools,membership,https://example.com/products/p0063,72.86,0.2111,130419,39,5845,1,76,31
P0064,Synthetic Personal Finance Product 64,Personal Finance,mobile_app,https://example.com/products/p0064,232.05,0.2875,21375,60,5249,114,52,83
P0065,Synthetic Education Product 65,Education,physical,https://example.com/products/p0065,402.53,0.0353,117436,11,11140,9,75,62
P0066,Synthetic Pet Care Product 66,Pet Care,digital_download,https://example.com/products/p0066,345.23,0.0609,53087,80,696,146,54,80
P0067,Synthetic Education Product 67,Education,software,https://example.com/products/p0067,116.27,0.5962,103420,-47,9460,90,67,71
P0068,Synthetic Fitness Product 68,Fitness,software,https://example.com/products/p0068,314.69,0.5474,63200,44,2918,50,56,1
P0069,Synthetic Fitness Product 69,Fitness,membership,https://example.com/products/p0069,193.32,0.0761,116277,-2,8157,135,69,28
P0070,Synthetic Pet Care Product 70,Pet Care,physical,https://example.com/products/p0070,253.17,0.5415,70927,-56,9148,9,50,10
P0071,Synthetic Gaming Product 71,Gaming,subscription,https://example.com/products/p0071,390.97,0.0678,34058,-20,5713,103,10,29
P0072,Synthetic Personal Finance Product 72,Personal Finance,mobile_app,https://example.com/products/p0072,309.45,0.0839,14720,62,9245,46,20,56
P0073,Synthetic Creator Tools Product 73,Creator Tools,subscription,https://example.com/products/p0073,155.1,0.576,26353,7,885,95,54,37
P0074,Synthetic Career Software Product 74,Career Software,software,https://example.com/products/p0074,57.6,0.0219,126784,67,871,104,85,38
P0075,Synthetic Career Software Product 75,Career Software,mobile_app,https://example.com/products/p0075,229.19,0.3162,41505,10,13972,44,89,98
P0076,Synthetic Creator Tools Product 76,Creator Tools,membership,https://example.com/products/p0076,52.31,0.5176,61270,-37,9031,31,41,16
P0077,Synthetic Gaming Product 77,Gaming,digital_download,https://example.com/products/p0077,162.99,0.2258,76021,70,4744,160,90,25
P0078,Synthetic Productivity Product 78,Productivity,membership,https://example.com/products/p0078,494.75,0.3325,146159,88,2289,33,49,80
P0079,Synthetic Home Office Product 79,Home Office,mobile_app,https://example.com/products/p0079,450.85,0.3307,97194,50,1633,79,16,77
P0080,Synthetic Fitness Product 80,Fitness,digital_download,https://example.com/products/p0080,196.88,0.3051,11314,-53,7313,68,50,19
P0081,Synthetic Gaming Product 81,Gaming,mobile_app,https://example.com/products/p0081,194.48,0.2782,148531,72,10503,72,20,99
P0082,Synthetic Productivity Product 82,Productivity,mobile_app,https://example.com/products/p0082,199.65,0.1736,73701,48,12681,80,51,22
P0083,Synthetic Home Office Product 83,Home Office,physical,https://example.com/products/p0083,445.53,0.0476,56254,1,10878,32,66,89
P0084,Synthetic Summer Gadgets Product 84,Summer Gadgets,membership,https://example.com/products/p0084,163.07,0.3921,135581,43,5425,28,39,82
P0085,Synthetic Creator Tools Product 85,Creator Tools,membership,https://example.com/products/p0085,421.13,0.5214,41842,89,7642,73,69,80
P0086,Synthetic Travel Product 86,Travel,mobile_app,https://example.com/products/p0086,471.32,0.2352,37182,-52,1440,25,45,1
P0087,Synthetic Beauty Product 87,Beauty,mobile_app,https://example.com/products/p0087,390.15,0.018,94471,72,9682,76,84,97
P0088,Synthetic Gaming Product 88,Gaming,membership,https://example.com/products/p0088,214.91,0.577,30044,32,3683,97,64,30
P0089,Synthetic Creator Tools Product 89,Creator Tools,service,https://example.com/products/p0089,251.11,0.5291,2707,-19,2675,107,36,95
P0090,Synthetic Personal Finance Product 90,Personal Finance,course,https://example.com/products/p0090,127.26,0.5895,147444,52,8947,67,13,8
P0091,Synthetic Home Office Product 91,Home Office,digital_download,https://example.com/products/p0091,23.78,0.3036,121167,-64,12360,148,46,23
P0092,Synthetic Career Software Product 92,Career Software,digital_download,https://example.com/products/p0092,87.83,0.2537,99445,54,13541,6,46,44
P0093,Synthetic Personal Finance Product 93,Personal Finance,physical,https://example.com/products/p0093,88.6,0.0491,2135,70,524,64,9,62
P0094,Synthetic Personal Finance Product 94,Personal Finance,subscription,https://example.com/products/p0094,186.73,0.2255,46812,3,13224,132,59,61
P0095,Synthetic Creator Tools Product 95,Creator Tools,software,https://example.com/products/p0095,333.34,0.3162,8452,7,992,33,21,12
P0096,Synthetic Summer Gadgets Product 96,Summer Gadgets,service,https://example.com/products/p0096,112.35,0.4745,68106,-66,899,125,53,94
P0097,Synthetic Beauty Product 97,Beauty,software,https://example.com/products/p0097,25.48,0.0839,123543,-30,9281,120,2,19
P0098,Synthetic Personal Finance Product 98,Personal Finance,service,https://example.com/products/p0098,50.51,0.1558,33794,9,13734,15,58,57
P0099,Synthetic Productivity Product 99,Productivity,physical,https://example.com/products/p0099,91.84,0.3855,104832,69,5762,123,28,85
P0100,Synthetic Summer Gadgets Product 100,Summer Gadgets,course,https://example.com/products/p0100,455.8,0.3213,128203,-27,6300,53,82,52
P0101,Synthetic Productivity Product 101,Productivity,physical,https://example.com/products/p0101,343.01,0.2397,89956,-48,6443,112,56,85
P0102,Synthetic Gaming Product 102,Gaming,membership,https://example.com/products/p0102,445.81,0.3039,82486,-47,13160,50,31,36
P0103,Synthetic Education Product 103,Education,membership,https://example.com/products/p0103,338.66,0.2148,120318,77,11476,97,59,16
P0104,Synthetic Home Office Product 104,Home Office,service,https://example.com/products/p0104,416.31,0.5615,11667,-62,2357,156,0,15
P0105,Synthetic Personal Finance Product 105,Personal Finance,mobile_app,https://example.com/products/p0105,331.1,0.1177,125292,-59,12256,150,72,2
P0106,Synthetic Summer Gadgets Product 106,Summer Gadgets,digital_download,https://example.com/products/p0106,241.59,0.2034,43337,-37,2436,53,82,35
P0107,Synthetic Home Office Product 107,Home Office,software,https://example.com/products/p0107,364.89,0.4325,53360,-11,12378,141,74,90
P0108,Synthetic Gaming Product 108,Gaming,subscription,https://example.com/products/p0108,438.19,0.5032,47908,-52,2374,128,34,14
P0109,Synthetic Career Software Product 109,Career Software,mobile_app,https://example.com/products/p0109,440.98,0.5061,3395,72,14736,27,13,39
P0110,Synthetic Career Software Product 110,Career Software,membership,https://example.com/products/p0110,239.75,0.4667,16621,54,3785,32,65,79
P0111,Synthetic Gaming Product 111,Gaming,membership,https://example.com/products/p0111,175.36,0.2531,149659,-22,3956,109,22,47
P0112,Synthetic Gaming Product 112,Gaming,subscription,https://example.com/products/p0112,425.18,0.5983,31919,30,8210,133,23,59
P0113,Synthetic Personal Finance Product 113,Personal Finance,membership,https://example.com/products/p0113,301.65,0.5884,29699,25,1988,109,79,13
P0114,Synthetic Beauty Product 114,Beauty,membership,https://example.com/products/p0114,461.86,0.4814,92463,-26,2370,26,64,25
P0115,Synthetic Home Office Product 115,Home Office,software,https://example.com/products/p0115,150.15,0.483,97396,33,3272,20,6,27
P0116,Synthetic Creator Tools Product 116,Creator Tools,digital_download,https://example.com/products/p0116,303.79,0.1253,58071,-47,13735,160,15,76
P0117,Synthetic Creator Tools Product 117,Creator Tools,membership,https://example.com/products/p0117,237.88,0.3618,122102,-37,14885,41,1,76
P0118,Synthetic Pet Care Product 118,Pet Care,mobile_app,https://example.com/products/p0118,319.79,0.0974,81260,-55,14389,151,63,80
P0119,Synthetic Travel Product 119,Travel,software,https://example.com/products/p0119,243.94,0.1412,105370,-54,6641,49,81,92
P0120,Synthetic Beauty Product 120,Beauty,mobile_app,https://example.com/products/p0120,364.47,0.2447,80207,9,3417,69,69,69
P0121,Synthetic Travel Product 121,Travel,membership,https://example.com/products/p0121,278.29,0.4454,124913,23,10128,151,30,64
P0122,Synthetic Personal Finance Product 122,Personal Finance,software,https://example.com/products/p0122,68.2,0.0711,106045,-3,7135,108,1,64
P0123,Synthetic Fitness Product 123,Fitness,mobile_app,https://example.com/products/p0123,400.43,0.5906,146812,31,6850,30,6,92
P0124,Synthetic Gaming Product 124,Gaming,mobile_app,https://example.com/products/p0124,429.83,0.3328,27130,42,4447,17,16,8
P0125,Synthetic Personal Finance Product 125,Personal Finance,service,https://example.com/products/p0125,208.6,0.5276,81066,26,3344,104,74,56
P0126,Synthetic Summer Gadgets Product 126,Summer Gadgets,physical,https://example.com/products/p0126,322.08,0.1159,35928,-56,686,4,39,39
P0127,Synthetic Education Product 127,Education,digital_download,https://example.com/products/p0127,493.12,0.2911,105573,-43,14016,128,77,36
P0128,Synthetic Fitness Product 128,Fitness,software,https://example.com/products/p0128,343.99,0.4564,6741,71,6014,97,24,37
P0129,Synthetic Gaming Product 129,Gaming,subscription,https://example.com/products/p0129,453.28,0.2486,74360,-43,11197,85,34,75
P0130,Synthetic Creator Tools Product 130,Creator Tools,membership,https://example.com/products/p0130,81.14,0.2219,88978,28,9641,46,68,65
P0131,Synthetic Education Product 131,Education,service,https://example.com/products/p0131,35.12,0.2623,144767,68,12131,146,24,9
P0132,Synthetic Pet Care Product 132,Pet Care,mobile_app,https://example.com/products/p0132,97.41,0.5338,101247,79,13496,160,70,2
P0133,Synthetic Education Product 133,Education,physical,https://example.com/products/p0133,437.41,0.167,122854,-33,5745,34,10,44
P0134,Synthetic Education Product 134,Education,mobile_app,https://example.com/products/p0134,419.75,0.3383,20273,4,3247,146,82,34
P0135,Synthetic Gaming Product 135,Gaming,mobile_app,https://example.com/products/p0135,280.55,0.5972,141183,-50,9678,58,84,73
P0136,Synthetic Summer Gadgets Product 136,Summer Gadgets,digital_download,https://example.com/products/p0136,85.07,0.2667,76109,-22,761,100,11,62
P0137,Synthetic Travel Product 137,Travel,service,https://example.com/products/p0137,478.81,0.2016,131724,7,13608,88,75,30
P0138,Synthetic Education Product 138,Education,subscription,https://example.com/products/p0138,157.39,0.4907,74007,1,14211,123,4,79
P0139,Synthetic Travel Product 139,Travel,physical,https://example.com/products/p0139,146.76,0.3392,147159,74,1626,146,77,15
P0140,Synthetic Personal Finance Product 140,Personal Finance,membership,https://example.com/products/p0140,76.14,0.0367,94984,-24,3124,15,73,23
P0141,Synthetic Education Product 141,Education,digital_download,https://example.com/products/p0141,374.66,0.2928,140286,-67,8207,41,88,35
P0142,Synthetic Gaming Product 142,Gaming,software,https://example.com/products/p0142,275.42,0.1463,71718,70,1917,103,42,80
P0143,Synthetic Personal Finance Product 143,Personal Finance,service,https://example.com/products/p0143,86.3,0.0189,46691,-36,9025,77,30,68
P0144,Synthetic Summer Gadgets Product 144,Summer Gadgets,service,https://example.com/products/p0144,323.05,0.3027,130046,62,4804,84,15,51
P0145,Synthetic Summer Gadgets Product 145,Summer Gadgets,subscription,https://example.com/products/p0145,102.31,0.4266,73891,-2,8429,130,50,96
P0146,Synthetic Creator Tools Product 146,Creator Tools,software,https://example.com/products/p0146,404.7,0.2512,21337,-16,1580,73,38,84
P0147,Synthetic Summer Gadgets Product 147,Summer Gadgets,membership,https://example.com/products/p0147,203.48,0.4752,16746,45,3613,145,39,26
P0148,Synthetic Pet Care Product 148,Pet Care,course,https://example.com/products/p0148,358.16,0.2744,55074,6,4289,125,84,96
P0149,Synthetic Home Office Product 149,Home Office,subscription,https://example.com/products/p0149,334.91,0.1877,51452,34,10680,127,36,45
P0150,Synthetic Pet Care Product 150,Pet Care,service,https://example.com/products/p0150,88.67,0.372,64347,-50,1944,46,17,57
P0151,Synthetic Pet Care Product 151,Pet Care,service,https://example.com/products/p0151,66.87,0.1834,55156,-62,12200,40,20,1
P0152,Synthetic Education Product 152,Education,physical,https://example.com/products/p0152,383.81,0.0976,103227,-20,3664,21,49,55
P0153,Synthetic Education Product 153,Education,course,https://example.com/products/p0153,499.63,0.2185,140325,16,1768,24,89,86
P0154,Synthetic Career Software Product 154,Career Software,service,https://example.com/products/p0154,415.39,0.0966,43510,33,11020,34,34,35
P0155,Synthetic Gaming Product 155,Gaming,physical,https://example.com/products/p0155,340.29,0.5991,133357,26,3122,76,48,11
P0156,Synthetic Travel Product 156,Travel,physical,https://example.com/products/p0156,424.03,0.595,85021,-40,2227,143,72,78
P0157,Synthetic Gaming Product 157,Gaming,service,https://example.com/products/p0157,68.23,0.2466,84862,2,4024,110,79,90
P0158,Synthetic Beauty Product 158,Beauty,course,https://example.com/products/p0158,61.68,0.2148,10439,-56,4402,46,68,44
P0159,Synthetic Beauty Product 159,Beauty,physical,https://example.com/products/p0159,307.57,0.5372,48315,38,5923,139,4,54
P0160,Synthetic Education Product 160,Education,subscription,https://example.com/products/p0160,93.04,0.1505,138511,-36,11177,76,52,41
P0161,Synthetic Fitness Product 161,Fitness,digital_download,https://example.com/products/p0161,75.95,0.5884,126146,42,14051,142,49,93
P0162,Synthetic Productivity Product 162,Productivity,mobile_app,https://example.com/products/p0162,19.34,0.1569,37146,31,7679,150,71,8
P0163,Synthetic Education Product 163,Education,subscription,https://example.com/products/p0163,230.25,0.3045,64553,32,6973,138,33,26
P0164,Synthetic Personal Finance Product 164,Personal Finance,course,https://example.com/products/p0164,263.8,0.1191,112319,-39,305,43,87,100
P0165,Synthetic Beauty Product 165,Beauty,mobile_app,https://example.com/products/p0165,307.32,0.4588,134378,3,13385,62,57,53
P0166,Synthetic Gaming Product 166,Gaming,digital_download,https://example.com/products/p0166,26.04,0.0406,24735,55,7091,59,30,24
P0167,Synthetic Education Product 167,Education,service,https://example.com/products/p0167,315.84,0.2499,29636,5,6843,64,30,24
P0168,Synthetic Personal Finance Product 168,Personal Finance,service,https://example.com/products/p0168,104.74,0.0385,128230,-30,12827,110,49,48
P0169,Synthetic Creator Tools Product 169,Creator Tools,membership,https://example.com/products/p0169,71.34,0.0892,104964,23,1323,78,8,17
P0170,Synthetic Personal Finance Product 170,Personal Finance,service,https://example.com/products/p0170,125.03,0.0922,48730,-60,13816,4,65,62
P0171,Synthetic Gaming Product 171,Gaming,service,https://example.com/products/p0171,164.58,0.441,374,71,3009,68,20,93
P0172,Synthetic Beauty Product 172,Beauty,physical,https://example.com/products/p0172,36.27,0.0365,29682,59,11951,120,81,30
P0173,Synthetic Pet Care Product 173,Pet Care,physical,https://example.com/products/p0173,25.76,0.5368,128511,-1,9023,113,34,56
P0174,Synthetic Home Office Product 174,Home Office,service,https://example.com/products/p0174,134.55,0.4319,144931,-44,11766,34,84,57
P0175,Synthetic Productivity Product 175,Productivity,mobile_app,https://example.com/products/p0175,434.62,0.029,57560,-20,14582,1,25,88
P0176,Synthetic Education Product 176,Education,physical,https://example.com/products/p0176,228.73,0.1238,129737,-34,5854,3,43,94
P0177,Synthetic Creator Tools Product 177,Creator Tools,software,https://example.com/products/p0177,440.48,0.3365,127979,-65,10885,75,27,82
P0178,Synthetic Travel Product 178,Travel,physical,https://example.com/products/p0178,326.82,0.1124,29077,46,4877,138,10,10
P0179,Synthetic Pet Care Product 179,Pet Care,membership,https://example.com/products/p0179,472.92,0.3927,49209,86,8180,67,27,50
P0180,Synthetic Personal Finance Product 180,Personal Finance,subscription,https://example.com/products/p0180,397.03,0.5557,54201,13,8318,13,4,14
P0181,Synthetic Beauty Product 181,Beauty,physical,https://example.com/products/p0181,433.52,0.1308,116549,-67,2703,0,22,10
P0182,Synthetic Home Office Product 182,Home Office,course,https://example.com/products/p0182,139.25,0.3042,132437,-38,257,33,48,76
P0183,Synthetic Travel Product 183,Travel,course,https://example.com/products/p0183,253.99,0.1464,54155,15,4846,70,37,32
P0184,Synthetic Creator Tools Product 184,Creator Tools,subscription,https://example.com/products/p0184,404.73,0.04,51953,-62,3905,83,21,75
P0185,Synthetic Summer Gadgets Product 185,Summer Gadgets,digital_download,https://example.com/products/p0185,263.95,0.2898,141811,59,14250,37,6,44
P0186,Synthetic Career Software Product 186,Career Software,service,https://example.com/products/p0186,356.96,0.1094,92971,-66,5612,86,74,22
P0187,Synthetic Creator Tools Product 187,Creator Tools,service,https://example.com/products/p0187,55.19,0.3255,57782,-16,7519,57,14,77
P0188,Synthetic Career Software Product 188,Career Software,physical,https://example.com/products/p0188,487.09,0.3286,27459,13,2233,33,6,100
P0189,Synthetic Summer Gadgets Product 189,Summer Gadgets,course,https://example.com/products/p0189,280.42,0.1167,106420,-32,13914,24,2,47
P0190,Synthetic Education Product 190,Education,subscription,https://example.com/products/p0190,254.71,0.0881,98889,87,8710,44,70,85
P0191,Synthetic Gaming Product 191,Gaming,software,https://example.com/products/p0191,53.85,0.2678,122897,-15,149,140,50,59
P0192,Synthetic Gaming Product 192,Gaming,membership,https://example.com/products/p0192,133.76,0.2712,128568,79,14186,29,56,69
P0193,Synthetic Gaming Product 193,Gaming,service,https://example.com/products/p0193,121.96,0.2974,80537,64,11409,54,2,23
P0194,Synthetic Beauty Product 194,Beauty,subscription,https://example.com/products/p0194,363.65,0.115,84347,-69,13817,28,2,72
P0195,Synthetic Beauty Product 195,Beauty,membership,https://example.com/products/p0195,424.85,0.5841,36141,79,14009,101,31,29
P0196,Synthetic Education Product 196,Education,service,https://example.com/products/p0196,363.81,0.568,133526,73,10306,59,0,64
P0197,Synthetic Home Office Product 197,Home Office,subscription,https://example.com/products/p0197,192.69,0.2401,95127,-57,7568,134,6,2
P0198,Synthetic Travel Product 198,Travel,subscription,https://example.com/products/p0198,95.97,0.44,19089,-51,5329,16,13,71
P0199,Synthetic Beauty Product 199,Beauty,software,https://example.com/products/p0199,109.34,0.4688,21639,51,11381,38,28,72
P0200,Synthetic Personal Finance Product 200,Personal Finance,digital_download,https://example.com/products/p0200,454.9,0.3138,29720,-58,8667,41,44,78
P0201,Synthetic Fitness Product 201,Fitness,digital_download,https://example.com/products/p0201,401.14,0.1447,71391,-52,945,19,33,99
P0202,Synthetic Productivity Product 202,Productivity,software,https://example.com/products/p0202,321.6,0.1676,22885,80,8633,25,32,97
P0203,Synthetic Travel Product 203,Travel,membership,https://example.com/products/p0203,91.25,0.1516,74073,-33,12150,146,40,3
P0204,Synthetic Travel Product 204,Travel,physical,https://example.com/products/p0204,29.79,0.2453,120103,37,11528,77,12,21
P0205,Synthetic Fitness Product 205,Fitness,service,https://example.com/products/p0205,66.37,0.5457,122849,63,1819,32,39,25
P0206,Synthetic Career Software Product 206,Career Software,physical,https://example.com/products/p0206,55.12,0.2587,139360,20,9149,152,27,89
P0207,Synthetic Fitness Product 207,Fitness,course,https://example.com/products/p0207,222.94,0.2083,105041,25,12817,151,41,62
P0208,Synthetic Gaming Product 208,Gaming,membership,https://example.com/products/p0208,234.1,0.2582,37749,-34,5270,65,90,89
P0209,Synthetic Home Office Product 209,Home Office,mobile_app,https://example.com/products/p0209,137.92,0.5825,142464,38,8486,30,76,77
P0210,Synthetic Education Product 210,Education,membership,https://example.com/products/p0210,410.42,0.3122,10978,58,12453,110,53,62
P0211,Synthetic Creator Tools Product 211,Creator Tools,course,https://example.com/products/p0211,384.6,0.3262,11369,88,14672,51,21,88
P0212,Synthetic Travel Product 212,Travel,course,https://example.com/products/p0212,200.4,0.0324,105012,-6,5130,95,15,99
P0213,Synthetic Gaming Product 213,Gaming,software,https://example.com/products/p0213,167.58,0.3943,50763,12,9497,48,67,53
P0214,Synthetic Creator Tools Product 214,Creator Tools,physical,https://example.com/products/p0214,262.81,0.4303,85656,-33,10588,42,34,65
P0215,Synthetic Home Office Product 215,Home Office,software,https://example.com/products/p0215,108.16,0.345,133860,58,5748,30,46,49
P0216,Synthetic Career Software Product 216,Career Software,software,https://example.com/products/p0216,39.7,0.3323,80181,51,14339,104,85,21
P0217,Synthetic Creator Tools Product 217,Creator Tools,membership,https://example.com/products/p0217,60.71,0.4515,97205,15,1224,49,37,20
P0218,Synthetic Home Office Product 218,Home Office,subscription,https://example.com/products/p0218,417.49,0.3294,114441,44,5688,95,89,33
P0219,Synthetic Career Software Product 219,Career Software,service,https://example.com/products/p0219,311.17,0.4762,73885,-23,11159,59,13,34
P0220,Synthetic Personal Finance Product 220,Personal Finance,physical,https://example.com/products/p0220,397.16,0.304,92063,23,7862,159,15,0
