offer_id,product_id,platform,payout_type,offer_price,commission_rate,fixed_commission_amount,commission_per_lead,cookie_duration_days,recurring_commission,affiliate_url,offer_status
O00081,P0033,Awin,fixed_amount,,,32.08,,1,False,https://example.com/offers/o00081,active
O00082,P0034,Amazon Associates,lead,,,,66.65,90,False,https://example.com/offers/o00082,unknown
O00083,P0034,CJ Affiliate,one_time,393.22,0.061,,,0,False,https://example.com/offers/o00083,active
O00084,P0035,CJ Affiliate,one_time,163.27,0.3748,,,1,False,https://example.com/offers/o00084,unknown
O00085,P0035,Amazon Associates,recurring,122.9,0.5032,,,0,True,https://example.com/offers/o00085,inactive
O00086,P0035,ShareASale,fixed_amount,,,140.61,,7,False,https://example.com/offers/o00086,active
O00087,P0036,Rakuten Advertising,recurring,209.75,0.1514,,,1,True,https://example.com/offers/o00087,active
O00088,P0036,Amazon Associates,fixed_amount,,,67.61,,7,False,https://example.com/offers/o00088,inactive
O00089,P0036,Rakuten Advertising,lead,,,,33.9,90,False,https://example.com/offers/o00089,active
O00090,P0036,Amazon Associates,one_time,230.54,0.2475,,,30,False,https://example.com/offers/o00090,active
O00091,P0037,Impact,fixed_amount,,,69.94,,30,False,https://example.com/offers/o00091,unknown
O00092,P0038,Awin,lead,,,,6.09,30,False,https://example.com/offers/o00092,active
O00093,P0038,CJ Affiliate,one_time,479.96,0.592,,,60,False,https://example.com/offers/o00093,active
O00094,P0039,CJ Affiliate,one_time,28.07,0.6194,,,1,False,https://example.com/offers/o00094,unknown
O00095,P0039,Amazon Associates,recurring,21.4,0.2693,,,0,True,https://example.com/offers/o00095,active
O00096,P0039,Amazon Associates,fixed_amount,,,105.47,,7,False,https://example.com/offers/o00096,active
O00097,P0040,Amazon Associates,recurring,161.35,0.4142,,,1,True,https://example.com/offers/o00097,active
O00098,P0040,Amazon Associates,fixed_amount,,,120.28,,7,False,https://example.com/offers/o00098,active
O00099,P0040,Direct Program,lead,,,,49.34,90,False,https://example.com/offers/o00099,active
O00100,P0040,Impact,one_time,148.41,0.6492,,,14,False,https://example.com/offers/o00100,active
O00101,P0041,CJ Affiliate,fixed_amount,,,43.31,,60,False,https://example.com/offers/o00101,inactive
O00102,P0042,Impact,lead,,,,71.53,0,False,https://example.com/offers/o00102,inactive
O00103,P0042,ShareASale,one_time,494.56,0.2499,,,1,False,https://example.com/offers/o00103,inactive
O00104,P0043,CJ Affiliate,one_time,217.25,0.4741,,,30,False,https://example.com/offers/o00104,active
O00105,P0043,PartnerStack,recurring,218.67,0.2037,,,7,True,https://example.com/offers/o00105,unknown
O00106,P0043,PartnerStack,fixed_amount,,,92.78,,1,False,https://example.com/offers/o00106,unknown
O00107,P0044,CJ Affiliate,recurring,471.18,0.2911,,,30,True,https://example.com/offers/o00107,active
O00108,P0044,Awin,fixed_amount,,,39.9,,14,False,https://example.com/offers/o00108,active
O00109,P0044,Impact,lead,,,,3.11,7,False,https://example.com/offers/o00109,active
O00110,P0044,Amazon Associates,one_time,428.67,0.0722,,,90,False,https://example.com/offers/o00110,active
O00111,P0045,Amazon Associates,fixed_amount,,,128.61,,1,False,https://example.com/offers/o00111,active
O00112,P0046,Rakuten Advertising,lead,,,,74.2,1,False,https://example.com/offers/o00112,unknown
O00113,P0046,Amazon Associates,one_time,308.87,0.7161,,,14,False,https://example.com/offers/o00113,inactive
O00114,P0047,ShareASale,one_time,355.44,0.0369,,,90,False,https://example.com/offers/o00114,active
O00115,P0047,CJ Affiliate,recurring,472.38,0.142,,,1,True,https://example.com/offers/o00115,active
O00116,P0047,Direct Program,fixed_amount,,,86.44,,14,False,https://example.com/offers/o00116,active
O00117,P0048,PartnerStack,recurring,231.25,0.0877,,,90,True,https://example.com/offers/o00117,unknown
O00118,P0048,Impact,fixed_amount,,,111.45,,0,False,https://example.com/offers/o00118,active
O00119,P0048,PartnerStack,lead,,,,59.33,90,False,https://example.com/offers/o00119,active
O00120,P0048,Impact,one_time,181.79,0.0144,,,14,False,https://example.com/offers/o00120,active
O00121,P0049,Direct Program,fixed_amount,,,114.35,,30,False,https://example.com/offers/o00121,unknown
O00122,P0050,Direct Program,lead,,,,52.43,14,False,https://example.com/offers/o00122,active
O00123,P0050,Rakuten Advertising,one_time,205.64,0.5371,,,60,False,https://example.com/offers/o00123,unknown
O00124,P0051,Awin,one_time,60.64,0.7436,,,30,False,https://example.com/offers/o00124,unknown
O00125,P0051,CJ Affiliate,recurring,49.22,0.1338,,,0,True,https://example.com/offers/o00125,active
O00126,P0051,Impact,fixed_amount,,,72.94,,0,False,https://example.com/offers/o00126,active
O00127,P0052,Amazon Associates,recurring,25.75,0.3849,,,7,True,https://example.com/offers/o00127,active
O00128,P0052,Direct Program,fixed_amount,,,118.24,,1,False,https://example.com/offers/o00128,active
O00129,P0052,Awin,lead,,,,41.0,0,False,https://example.com/offers/o00129,active
O00130,P0052,Impact,one_time,23.42,0.7335,,,7,False,https://example.com/offers/o00130,inactive
O00131,P0053,PartnerStack,fixed_amount,,,131.7,,0,False,https://example.com/offers/o00131,active
O00132,P0054,Direct Program,lead,,,,42.37,1,False,https://example.com/offers/o00132,unknown
O00133,P0054,PartnerStack,one_time,293.11,0.6324,,,14,False,https://example.com/offers/o00133,active
O00134,P0055,PartnerStack,one_time,86.53,0.2119,,,0,False,https://example.com/offers/o00134,active
O00135,P0055,ShareASale,recurring,88.96,0.7049,,,30,True,https://example.com/offers/o00135,unknown
O00136,P0055,Impact,fixed_amount,,,82.35,,14,False,https://example.com/offers/o00136,unknown
O00137,P0056,CJ Affiliate,recurring,135.32,0.434,,,90,True,https://example.com/offers/o00137,active
O00138,P0056,Amazon Associates,fixed_amount,,,33.47,,60,False,https://example.com/offers/o00138,inactive
O00139,P0056,Awin,lead,,,,45.97,60,False,https://example.com/offers/o00139,unknown
O00140,P0056,Direct Program,one_time,152.94,0.1683,,,90,False,https://example.com/offers/o00140,unknown
O00141,P0057,ShareASale,fixed_amount,,,21.87,,7,False,https://example.com/offers/o00141,active
O00142,P0058,Awin,lead,,,,45.16,14,False,https://example.com/offers/o00142,active
O00143,P0058,Awin,one_time,448.84,0.1003,,,1,False,https://example.com/offers/o00143,active
O00144,P0059,PartnerStack,one_time,258.73,0.6101,,,30,False,https://example.com/offers/o00144,active
O00145,P0059,Awin,recurring,226.28,0.6204,,,60,True,https://example.com/offers/o00145,unknown
O00146,P0059,Impact,fixed_amount,,,15.53,,7,False,https://example.com/offers/o00146,unknown
O00147,P0060,Awin,recurring,71.24,0.0284,,,7,True,https://example.com/offers/o00147,inactive
O00148,P0060,Amazon Associates,fixed_amount,,,37.34,,30,False,https://example.com/offers/o00148,unknown
O00149,P0060,Direct Program,lead,,,,42.97,1,False,https://example.com/offers/o00149,active
O00150,P0060,Direct Program,one_time,84.83,0.1434,,,90,False,https://example.com/offers/o00150,active
O00151,P0061,Impact,fixed_amount,,,128.52,,14,False,https://example.com/offers/o00151,active
O00152,P0062,PartnerStack,lead,,,,25.48,0,False,https://example.com/offers/o00152,active
O00153,P0062,PartnerStack,one_time,265.96,0.4633,,,90,False,https://example.com/offers/o00153,active
O00154,P0063,PartnerStack,one_time,85.52,0.2106,,,7,False,https://example.com/offers/o00154,inactive
O00155,P0063,ShareASale,recurring,72.67,0.2739,,,0,True,https://example.com/offers/o00155,unknown
O00156,P0063,PartnerStack,fixed_amount,,,27.4,,7,False,https://example.com/offers/o00156,unknown
O00157,P0064,Awin,recurring,273.63,0.1166,,,7,True,https://example.com/offers/o00157,inactive
O00158,P0064,Direct Program,fixed_amount,,,38.05,,60,False,https://example.com/offers/o00158,unknown
O00159,P0064,Awin,lead,,,,45.38,7,False,https://example.com/offers/o00159,unknown
O00160,P0064,Impact,one_time,186.0,0.4776,,,0,False,https://example.com/offers/o00160,inactive
O00161,P0065,CJ Affiliate,fixed_amount,,,82.87,,90,False,https://example.com/offers/o00161,active
O00162,P0066,Rakuten Advertising,lead,,,,33.6,14,False,https://example.com/offers/o00162,active
O00163,P0066,Amazon Associates,one_time,404.36,0.4524,,,90,False,https://example.com/offers/o00163,unknown
O00164,P0067,Impact,one_time,127.1,0.3682,,,0,False,https://example.com/offers/o00164,active
O00165,P0067,ShareASale,recurring,138.06,0.0522,,,7,True,https://example.com/offers/o00165,active
O00166,P0067,CJ Affiliate,fixed_amount,,,135.0,,30,False,https://example.com/offers/o00166,active
O00167,P0068,PartnerStack,recurring,337.82,0.4632,,,14,True,https://example.com/offers/o00167,active
O00168,P0068,Amazon Associates,fixed_amount,,,38.76,,7,False,https://example.com/offers/o00168,active
O00169,P0068,CJ Affiliate,lead,,,,44.47,0,False,https://example.com/offers/o00169,unknown
O00170,P0068,CJ Affiliate,one_time,359.54,0.6787,,,1,False,https://example.com/offers/o00170,inactive
O00171,P0069,Impact,fixed_amount,,,55.05,,60,False,https://example.com/offers/o00171,active
O00172,P0070,Amazon Associates,lead,,,,12.32,0,False,https://example.com/offers/o00172,inactive
O00173,P0070,Impact,one_time,293.51,0.3552,,,60,False,https://example.com/offers/o00173,unknown
O00174,P0071,Awin,one_time,441.81,0.576,,,7,False,https://example.com/offers/o00174,active
O00175,P0071,Direct Program,recurring,448.14,0.6571,,,90,True,https://example.com/offers/o00175,active
O00176,P0071,Rakuten Advertising,fixed_amount,,,65.32,,7,False,https://example.com/offers/o00176,active
O00177,P0072,Rakuten Advertising,recurring,363.44,0.6402,,,90,True,https://example.com/offers/o00177,inactive
O00178,P0072,Rakuten Advertising,fixed_amount,,,66.65,,14,False,https://example.com/offers/o00178,inactive
O00179,P0072,Amazon Associates,lead,,,,18.78,14,False,https://example.com/offers/o00179,active
O00180,P0072,Awin,one_time,308.3,0.5195,,,1,False,https://example.com/offers/o00180,active
O00181,P0073,Rakuten Advertising,fixed_amount,,,9.09,,90,False,https://example.com/offers/o00181,active
O00182,P0074,Direct Program,lead,,,,27.09,30,False,https://example.com/offers/o00182,active
O00183,P0074,PartnerStack,one_time,57.0,0.063,,,30,False,https://example.com/offers/o00183,unknown
O00184,P0075,PartnerStack,one_time,251.77,0.1239,,,30,False,https://example.com/offers/o00184,active
O00185,P0075,CJ Affiliate,recurring,272.74,0.322,,,14,True,https://example.com/offers/o00185,active
O00186,P0075,Impact,fixed_amount,,,6.73,,90,False,https://example.com/offers/o00186,active
O00187,P0076,Awin,recurring,58.9,0.0704,,,14,True,https://example.com/offers/o00187,inactive
O00188,P0076,ShareASale,fixed_amount,,,78.03,,30,False,https://example.com/offers/o00188,active
O00189,P0076,Awin,lead,,,,24.89,1,False,https://example.com/offers/o00189,active
O00190,P0076,ShareASale,one_time,44.7,0.3719,,,1,False,https://example.com/offers/o00190,inactive
O00191,P0077,Rakuten Advertising,fixed_amount,,,51.91,,30,False,https://example.com/offers/o00191,active
O00192,P0078,Amazon Associates,lead,,,,47.58,1,False,https://example.com/offers/o00192,active
O00193,P0078,PartnerStack,one_time,545.91,0.3008,,,14,False,https://example.com/offers/o00193,unknown
O00194,P0079,PartnerStack,one_time,479.29,0.6223,,,7,False,https://example.com/offers/o00194,inactive
O00195,P0079,Amazon Associates,recurring,396.92,0.7356,,,0,True,https://example.com/offers/o00195,active
O00196,P0079,Impact,fixed_amount,,,75.73,,7,False,https://example.com/offers/o00196,active
O00197,P0080,Direct Program,recurring,234.09,0.189,,,1,True,https://example.com/offers/o00197,inactive
O00198,P0080,CJ Affiliate,fixed_amount,,,72.38,,30,False,https://example.com/offers/o00198,unknown
O00199,P0080,Awin,lead,,,,37.99,30,False,https://example.com/offers/o00199,active
O00200,P0080,Amazon Associates,one_time,189.93,0.5931,,,0,False,https://example.com/offers/o00200,unknown
O00201,P0081,Rakuten Advertising,fixed_amount,,,17.67,,60,False,https://example.com/offers/o00201,inactive
O00202,P0082,Impact,lead,,,,26.14,14,False,https://example.com/offers/o00202,inactive
O00203,P0082,Awin,one_time,162.77,0.305,,,30,False,https://example.com/offers/o00203,active
O00204,P0083,ShareASale,one_time,384.0,0.2159,,,1,False,https://example.com/offers/o00204,active
O00205,P0083,Impact,recurring,512.29,0.2678,,,30,True,https://example.com/offers/o00205,unknown
O00206,P0083,Amazon Associates,fixed_amount,,,68.79,,60,False,https://example.com/offers/o00206,active
O00207,P0084,Direct Program,recurring,139.75,0.1351,,,14,True,https://example.com/offers/o00207,inactive
O00208,P0084,Amazon Associates,fixed_amount,,,93.59,,14,False,https://example.com/offers/o00208,active
O00209,P0084,CJ Affiliate,lead,,,,26.97,1,False,https://example.com/offers/o00209,active
O00210,P0084,Impact,one_time,140.48,0.2424,,,7,False,https://example.com/offers/o00210,unknown
O00211,P0085,Direct Program,fixed_amount,,,6.92,,90,False,https://example.com/offers/o00211,active
O00212,P0086,Impact,lead,,,,70.52,30,False,https://example.com/offers/o00212,active
O00213,P0086,Amazon Associates,one_time,417.43,0.6822,,,1,False,https://example.com/offers/o00213,active
O00214,P0087,Awin,one_time,412.21,0.6002,,,14,False,https://example.com/offers/o00214,unknown
O00215,P0087,Awin,recurring,345.91,0.2392,,,1,True,https://example.com/offers/o00215,active
O00216,P0087,Impact,fixed_amount,,,15.41,,1,False,https://example.com/offers/o00216,inactive
O00217,P0088,Rakuten Advertising,recurring,216.83,0.5247,,,1,True,https://example.com/offers/o00217,inactive
O00218,P0088,PartnerStack,fixed_amount,,,35.34,,30,False,https://example.com/offers/o00218,active
O00219,P0088,Rakuten Advertising,lead,,,,66.14,90,False,https://example.com/offers/o00219,active
O00220,P0088,ShareASale,one_time,187.53,0.1466,,,7,False,https://example.com/offers/o00220,active
O00221,P0089,Direct Program,fixed_amount,,,128.46,,1,False,https://example.com/offers/o00221,active
O00222,P0090,Direct Program,lead,,,,67.44,60,False,https://example.com/offers/o00222,active
O00223,P0090,Amazon Associates,one_time,107.14,0.2844,,,14,False,https://example.com/offers/o00223,active
O00224,P0091,ShareASale,one_time,23.23,0.3843,,,60,False,https://example.com/offers/o00224,inactive
O00225,P0091,PartnerStack,recurring,25.19,0.398,,,30,True,https://example.com/offers/o00225,unknown
O00226,P0091,ShareASale,fixed_amount,,,20.23,,1,False,https://example.com/offers/o00226,active
O00227,P0092,CJ Affiliate,recurring,80.12,0.5664,,,14,True,https://example.com/offers/o00227,active
O00228,P0092,Awin,fixed_amount,,,53.54,,30,False,https://example.com/offers/o00228,active
O00229,P0092,Direct Program,lead,,,,46.33,1,False,https://example.com/offers/o00229,active
O00230,P0092,CJ Affiliate,one_time,101.35,0.5091,,,60,False,https://example.com/offers/o00230,unknown
O00231,P0093,Impact,fixed_amount,,,52.13,,30,False,https://example.com/offers/o00231,unknown
O00232,P0094,Amazon Associates,lead,,,,70.35,90,False,https://example.com/offers/o00232,inactive
O00233,P0094,Impact,one_time,195.54,0.2695,,,60,False,https://example.com/offers/o00233,unknown
O00234,P0095,Rakuten Advertising,one_time,359.15,0.6906,,,1,False,https://example.com/offers/o00234,unknown
O00235,P0095,ShareASale,recurring,291.44,0.2689,,,0,True,https://example.com/offers/o00235,active
O00236,P0095,Amazon Associates,fixed_amount,,,17.81,,0,False,https://example.com/offers/o00236,inactive
O00237,P0096,PartnerStack,recurring,130.12,0.1925,,,90,True,https://example.com/offers/o00237,active
O00238,P0096,Amazon Associates,fixed_amount,,,93.62,,1,False,https://example.com/offers/o00238,active
O00239,P0096,Awin,lead,,,,70.4,90,False,https://example.com/offers/o00239,active
O00240,P0096,Direct Program,one_time,113.62,0.3378,,,30,False,https://example.com/offers/o00240,inactive
O00241,P0097,Direct Program,fixed_amount,,,131.69,,1,False,https://example.com/offers/o00241,unknown
O00242,P0098,Awin,lead,,,,30.59,14,False,https://example.com/offers/o00242,unknown
O00243,P0098,Rakuten Advertising,one_time,53.22,0.4434,,,1,False,https://example.com/offers/o00243,active
O00244,P0099,Awin,one_time,100.27,0.04,,,7,False,https://example.com/offers/o00244,unknown
O00245,P0099,Amazon Associates,recurring,106.28,0.3518,,,60,True,https://example.com/offers/o00245,active
O00246,P0099,PartnerStack,fixed_amount,,,2.93,,7,False,https://example.com/offers/o00246,active
O00247,P0100,Rakuten Advertising,recurring,484.09,0.5106,,,0,True,https://example.com/offers/o00247,inactive
O00248,P0100,PartnerStack,fixed_amount,,,118.9,,14,False,https://example.com/offers/o00248,inactive
O00249,P0100,ShareASale,lead,,,,55.97,14,False,https://example.com/offers/o00249,inactive
O00250,P0100,Amazon Associates,one_time,383.84,0.1013,,,90,False,https://example.com/offers/o00250,inactive
O00251,P0101,Rakuten Advertising,fixed_amount,,,71.8,,1,False,https://example.com/offers/o00251,unknown
O00252,P0102,Awin,lead,,,,53.93,30,False,https://example.com/offers/o00252,active
O00253,P0102,Impact,one_time,436.63,0.3658,,,60,False,https://example.com/offers/o00253,active
O00254,P0103,ShareASale,one_time,310.47,0.2579,,,30,False,https://example.com/offers/o00254,inactive
O00255,P0103,CJ Affiliate,recurring,338.79,0.0211,,,0,True,https://example.com/offers/o00255,unknown
O00256,P0103,Direct Program,fixed_amount,,,141.22,,0,False,https://example.com/offers/o00256,unknown
O00257,P0104,Rakuten Advertising,recurring,334.59,0.0685,,,0,True,https://example.com/offers/o00257,unknown
O00258,P0104,PartnerStack,fixed_amount,,,45.04,,90,False,https://example.com/offers/o00258,active
O00259,P0104,Rakuten Advertising,lead,,,,38.77,7,False,https://example.com/offers/o00259,active
O00260,P0104,CJ Affiliate,one_time,377.27,0.6524,,,30,False,https://example.com/offers/o00260,active
O00261,P0105,Impact,fixed_amount,,,94.91,,90,False,https://example.com/offers/o00261,active
O00262,P0106,CJ Affiliate,lead,,,,20.53,7,False,https://example.com/offers/o00262,active
O00263,P0106,CJ Affiliate,one_time,284.44,0.473,,,7,False,https://example.com/offers/o00263,unknown
O00264,P0107,PartnerStack,one_time,364.23,0.1613,,,60,False,https://example.com/offers/o00264,active
O00265,P0107,Rakuten Advertising,recurring,309.05,0.1459,,,30,True,https://example.com/offers/o00265,unknown
O00266,P0107,PartnerStack,fixed_amount,,,89.12,,7,False,https://example.com/offers/o00266,active
O00267,P0108,Rakuten Advertising,recurring,457.25,0.0663,,,0,True,https://example.com/offers/o00267,active
O00268,P0108,PartnerStack,fixed_amount,,,120.21,,90,False,https://example.com/offers/o00268,active
O00269,P0108,ShareASale,lead,,,,11.41,1,False,https://example.com/offers/o00269,active
O00270,P0108,ShareASale,one_time,441.75,0.6469,,,1,False,https://example.com/offers/o00270,unknown
O00271,P0109,ShareASale,fixed_amount,,,141.09,,7,False,https://example.com/offers/o00271,active
O00272,P0110,Awin,lead,,,,61.71,1,False,https://example.com/offers/o00272,unknown
O00273,P0110,Direct Program,one_time,228.6,0.6095,,,7,False,https://example.com/offers/o00273,active
O00274,P0111,Amazon Associates,one_time,144.28,0.5848,,,60,False,https://example.com/offers/o00274,active
O00275,P0111,Impact,recurring,179.84,0.2519,,,14,True,https://example.com/offers/o00275,unknown
O00276,P0111,Direct Program,fixed_amount,,,53.27,,90,False,https://example.com/offers/o00276,active
O00277,P0112,Awin,recurring,399.01,0.264,,,14,True,https://example.com/offers/o00277,active
O00278,P0112,Awin,fixed_amount,,,77.66,,30,False,https://example.com/offers/o00278,unknown
O00279,P0112,PartnerStack,lead,,,,8.37,0,False,https://example.com/offers/o00279,unknown
O00280,P0112,CJ Affiliate,one_time,405.2,0.17,,,14,False,https://example.com/offers/o00280,active
O00281,P0113,Awin,fixed_amount,,,73.79,,90,False,https://example.com/offers/o00281,active
O00282,P0114,Direct Program,lead,,,,42.13,30,False,https://example.com/offers/o00282,unknown
O00283,P0114,CJ Affiliate,one_time,525.91,0.1813,,,0,False,https://example.com/offers/o00283,unknown
O00284,P0115,Impact,one_time,167.05,0.6469,,,14,False,https://example.com/offers/o00284,unknown
O00285,P0115,PartnerStack,recurring,159.15,0.1404,,,14,True,https://example.com/offers/o00285,active
O00286,P0115,CJ Affiliate,fixed_amount,,,57.29,,14,False,https://example.com/offers/o00286,inactive
O00287,P0116,Amazon Associates,recurring,302.76,0.7087,,,90,True,https://example.com/offers/o00287,inactive
